timestamp,machine_id,temperature,vibration,pressure,rpm,failure
2025-11-10T14:58:02.702799,1,58.599,0.4113,1.77,1211,0
2025-11-10T14:59:02.702799,1,58.761,0.403,1.778,1209,0
2025-11-10T15:00:02.702799,1,58.789,0.4124,1.766,1217,0
2025-11-10T15:01:02.702799,1,58.852,0.4299,1.713,1224,0
2025-11-10T15:02:02.702799,1,58.812,0.4276,1.718,1219,0
2025-11-10T15:03:02.702799,1,58.777,0.4362,1.719,1223,0
2025-11-10T15:04:02.702799,1,58.716,0.429,1.725,1226,0
2025-11-10T15:05:02.702799,1,58.731,0.4241,1.704,1223,0
2025-11-10T15:06:02.702799,1,58.661,0.4302,1.745,1220,0
2025-11-10T15:07:02.702799,1,58.639,0.4325,1.735,1222,0
2025-11-10T15:08:02.702799,1,58.693,0.4282,1.704,1221,0
2025-11-10T15:09:02.702799,1,58.701,0.4293,1.719,1217,0
2025-11-10T15:10:02.702799,1,58.596,0.4249,1.734,1218,0
2025-11-10T15:11:02.702799,1,58.584,0.4376,1.743,1216,0
2025-11-10T15:12:02.702799,1,58.433,0.4328,1.75,1215,0
2025-11-10T15:13:02.702799,1,58.361,0.4203,1.743,1217,0
2025-11-10T15:14:02.702799,1,58.366,0.4346,1.763,1215,0
2025-11-10T15:15:02.702799,1,58.281,0.444,1.774,1218,0
2025-11-10T15:16:02.702799,1,58.195,0.4453,1.721,1220,0
2025-11-10T15:17:02.702799,1,58.266,0.4311,1.742,1224,0
2025-11-10T15:18:02.702799,1,58.238,0.4442,1.72,1223,0
2025-11-10T15:19:02.702799,1,58.098,0.4382,1.753,1230,0
2025-11-10T15:20:02.702799,1,58.094,0.4421,1.76,1235,0
2025-11-10T15:21:02.702799,1,58.062,0.4464,1.783,1242,0
2025-11-10T15:22:02.702799,1,58.004,0.4471,1.782,1246,0
2025-11-10T15:23:02.702799,1,57.908,0.4526,1.773,1256,0
2025-11-10T15:24:02.702799,1,57.781,0.4543,1.757,1259,0
2025-11-10T15:25:02.702799,1,57.748,0.4563,1.745,1259,0
2025-11-10T15:26:02.702799,1,57.702,0.4576,1.725,1260,0
2025-11-10T15:27:02.702799,1,57.691,0.4724,1.75,1262,0
2025-11-10T15:28:02.702799,1,57.663,0.4725,1.742,1267,0
2025-11-10T15:29:02.702799,1,57.637,0.4663,1.745,1265,0
2025-11-10T15:30:02.702799,1,57.643,0.4689,1.747,1268,0
2025-11-10T15:31:02.702799,1,57.58,0.4665,1.708,1271,0
2025-11-10T15:32:02.702799,1,57.629,0.4645,1.69,1272,0
2025-11-10T15:33:02.702799,1,57.694,0.4768,1.693,1274,0
2025-11-10T15:34:02.702799,1,57.69,0.477,1.686,1284,0
2025-11-10T15:35:02.702799,1,57.684,0.4715,1.709,1295,0
2025-11-10T15:36:02.702799,1,57.638,0.4732,1.709,1290,0
2025-11-10T15:37:02.702799,1,57.713,0.4697,1.715,1287,0
2025-11-10T15:38:02.702799,1,57.715,0.4712,1.722,1286,1
2025-11-10T15:39:02.702799,1,57.677,0.4782,1.733,1281,0
2025-11-10T15:40:02.702799,1,57.652,0.4759,1.75,1274,0
2025-11-10T15:41:02.702799,1,57.61,0.4612,1.798,1277,0
2025-11-10T15:42:02.702799,1,57.58,0.4534,1.823,1272,0
2025-11-10T15:43:02.702799,1,57.581,0.451,1.846,1274,0
2025-11-10T15:44:02.702799,1,57.578,0.431,1.846,1276,0
2025-11-10T15:45:02.702799,1,57.666,0.4215,1.831,1275,0
2025-11-10T15:46:02.702799,1,57.715,0.4226,1.825,1272,0
2025-11-10T15:47:02.702799,1,57.674,0.4146,1.802,1272,0
2025-11-10T15:48:02.702799,1,57.535,0.4324,1.802,1276,0
2025-11-10T15:49:02.702799,1,57.513,0.434,1.802,1279,0
2025-11-10T15:50:02.702799,1,57.578,0.4512,1.79,1271,0
2025-11-10T15:51:02.702799,1,57.609,0.4426,1.795,1269,0
2025-11-10T15:52:02.702799,1,57.547,0.4487,1.768,1270,0
2025-11-10T15:53:02.702799,1,57.525,0.4347,1.739,1271,0
2025-11-10T15:54:02.702799,1,57.574,0.4338,1.717,1275,0
2025-11-10T15:55:02.702799,1,57.607,0.4343,1.685,1275,0
2025-11-10T15:56:02.702799,1,57.574,0.4303,1.675,1285,0
2025-11-10T15:57:02.702799,1,57.559,0.4353,1.599,1285,0
2025-11-10T15:58:02.702799,1,57.586,0.4317,1.607,1285,0
2025-11-10T15:59:02.702799,1,57.529,0.4338,1.601,1295,0
2025-11-10T16:00:02.702799,1,57.529,0.439,1.594,1293,0
2025-11-10T16:01:02.702799,1,57.511,0.4292,1.609,1288,0
2025-11-10T16:02:02.702799,1,57.528,0.4261,1.59,1282,0
2025-11-10T16:03:02.702799,1,57.483,0.4333,1.618,1274,0
2025-11-10T16:04:02.702799,1,57.484,0.4315,1.622,1273,0
2025-11-10T16:05:02.702799,1,57.498,0.4335,1.618,1280,0
2025-11-10T16:06:02.702799,1,57.438,0.4418,1.629,1281,0
2025-11-10T16:07:02.702799,1,57.37,0.4387,1.659,1287,0
2025-11-10T16:08:02.702799,1,57.376,0.4489,1.644,1285,0
2025-11-10T16:09:02.702799,1,57.41,0.4542,1.621,1284,0
2025-11-10T16:10:02.702799,1,57.452,0.4553,1.628,1281,0
2025-11-10T16:11:02.702799,1,57.426,0.4722,1.618,1282,0
2025-11-10T16:12:02.702799,1,57.362,0.49,1.611,1284,0
2025-11-10T16:13:02.702799,1,57.401,0.4782,1.615,1286,0
2025-11-10T16:14:02.702799,1,57.333,0.4898,1.597,1288,0
2025-11-10T16:15:02.702799,1,57.332,0.4873,1.598,1282,0
2025-11-10T16:16:02.702799,1,57.231,0.4861,1.613,1280,0
2025-11-10T16:17:02.702799,1,57.266,0.4859,1.589,1273,0
2025-11-10T16:18:02.702799,1,57.262,0.4625,1.597,1277,0
2025-11-10T16:19:02.702799,1,57.209,0.4637,1.634,1273,0
2025-11-10T16:20:02.702799,1,57.194,0.4606,1.647,1275,0
2025-11-10T16:21:02.702799,1,57.216,0.4661,1.629,1274,0
2025-11-10T16:22:02.702799,1,57.153,0.4675,1.635,1275,0
2025-11-10T16:23:02.702799,1,57.085,0.4606,1.618,1281,0
2025-11-10T16:24:02.702799,1,57.166,0.4762,1.626,1283,0
2025-11-10T16:25:02.702799,1,57.164,0.4852,1.658,1290,0
2025-11-10T16:26:02.702799,1,57.154,0.4942,1.667,1283,0
